id,added_on_year,type,bedrooms,bathrooms,town,price
3769,2024,Detached Duplex,5,5.0,Kukwaba,320000000.0
3770,2024,Terraced Duplex,5,5.0,Jahi,500000000.0
3771,2024,Terraced Duplex,4,4.0,Idu Industrial,100000000.0
3772,2024,Terraced Duplex,2,2.0,Karsana,95000000.0
3773,2024,Flat / Apartment,3,3.0,Wuye,100000000.0
3774,2024,Detached Duplex,4,4.0,Lokogoma District,270000000.0
3775,2024,Detached Duplex,5,6.0,Jabi,550000000.0
3776,2024,Detached Duplex,5,6.0,Jabi,550000000.0
3777,2024,Detached Duplex,8,10.0,Gwarinpa,310000000.0
3778,2024,Flat / Apartment,2,3.0,Jahi,185000000.0
3779,2024,Terraced Duplex,4,4.0,Galadimawa,75000000.0
3780,2024,Detached Duplex,7,7.0,Gwarinpa,650000000.0
3781,2024,Terraced Duplex,4,4.0,Galadimawa,80000000.0
3782,2024,Terraced Duplex,5,5.0,Katampe,200000000.0
3783,2024,Detached Duplex,4,5.0,Life Camp,135000000.0
3784,2024,Flat / Apartment,3,3.0,Life Camp,550000000.0
3785,2024,Detached Duplex,5,5.0,Gwarinpa,370000000.0
3786,2024,Terraced Duplex,4,5.0,Wuye,200000000.0
3787,2024,Terraced Duplex,5,5.0,Durumi,250000000.0
3788,2024,Detached Bungalow,3,3.0,Galadimawa,100000000.0
3789,2024,Flat / Apartment,2,3.0,Gwarinpa,50000000.0
3790,2024,Flat / Apartment,3,3.0,Jahi,105000000.0
3791,2024,House,4,5.0,Jahi,160000000.0
3792,2024,Terraced Duplex,4,5.0,Jahi,300000000.0
3793,2024,Detached Duplex,5,5.0,Wuye,500000000.0
3794,2024,Terraced Duplex,4,4.0,Guzape District,175000000.0
3795,2024,House,3,3.0,Kubwa,140000000.0
3796,2024,Terraced Duplex,5,5.0,Jahi,350000000.0
3797,2024,Terraced Duplex,4,5.0,Jahi,250000000.0
3798,2024,Terraced Duplex,4,5.0,Jahi,250000000.0
3799,2024,Terraced Duplex,4,5.0,Life Camp,140000000.0
3800,2024,Terraced Duplex,4,5.0,Life Camp,140000000.0
3801,2024,Detached Duplex,6,7.0,Dakwo,180000000.0
3802,2024,Detached Duplex,6,7.0,Dakwo,180000000.0
3803,2024,Detached Duplex,5,6.0,Galadimawa,170000000.0
3804,2024,Detached Duplex,5,6.0,Galadimawa,170000000.0
