id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
310,2024,Flat / Apartment,3,4,5,3,Katampe,Abuja,"₦110,000,000"
311,2024,Detached Duplex,4,5,5,3,Karsana,Abuja,"₦100,000,000"
312,2025,Terraced Duplex,4,4,5,4,Jahi,Abuja,"₦370,000,000"
313,2025,Detached Duplex,5,6,7,6,Wuye,Abuja,"₦950,000,000"
314,2025,Terraced Duplex,4,4,5,3,Life Camp,Abuja,"₦250,000,000"
315,2025,Detached Duplex,6,6,7,8,Galadimawa,Abuja,"₦320,000,000"
316,2025,Detached Duplex,4,4,5,6,Katampe,Abuja,"₦610,000,000"
317,2025,Detached Duplex,4,4,5,7,Asokoro District,Abuja,"₦2,900,000,000"
318,2025,Detached Duplex,5,5,6,Unknown,Kukwaba,Abuja,"₦450,000,000"
319,2025,Detached Duplex,6,6,7,6,Asokoro District,Abuja,No price available
320,2025,Flat / Apartment,2,2,3,Unknown,Wuye,Abuja,"₦75,000,000"
321,2025,Terraced Duplex,3,Unknown,4,Unknown,Wuye,Abuja,"₦235,000,000"
322,2025,Terraced Duplex,3,3,4,2,Karmo,Abuja,"₦75,000,000"
323,2025,Flat / Apartment,3,4,4,20,Wuye,Abuja,"₦235,000,000"
324,2025,Detached Duplex,3,Unknown,Unknown,Unknown,Kubwa,Abuja,"₦45,000,000"
325,2025,Detached Bungalow,4,Unknown,Unknown,Unknown,Kubwa,Abuja,"₦50,000,000"
326,2025,Detached Duplex,5,Unknown,Unknown,Unknown,Lugbe District,Abuja,"₦120,000,000"
327,2025,Terraced Duplex,4,6,5,20,Jahi,Abuja,"₦370,000,000"
328,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Durumi,Abuja,"₦10,000,000"
329,2025,Terraced Duplex,5,4,4,Unknown,Dakibiyu,Abuja,"₦205,000,000"
330,2025,Terraced Duplex,3,3,4,3,Kuje,Abuja,"₦25,000,000"
331,2025,Detached Duplex,4,4,5,Unknown,Lugbe District,Abuja,"₦170,000,000"
332,2025,Terraced Duplex,4,5,5,4,Mbora (Nbora),Abuja,"₦120,000,000"
333,2025,Terraced Duplex,5,5,6,3,Guzape District,Abuja,"₦450,000,000"
334,2025,Detached Duplex,6,6,7,6,Guzape District,Abuja,"₦1,000,000,000"
335,2025,Flat / Apartment,3,4,4,Unknown,Katampe,Abuja,"₦120,000,000"
336,2025,Detached Duplex,5,Unknown,6,Unknown,Gwarinpa,Abuja,"₦320,000,000"
337,2025,Flat / Apartment,3,Unknown,Unknown,Unknown,Katampe,Abuja,"₦120,000,000"
338,2025,Detached Duplex,7,7,8,6,Guzape District,Abuja,"₦770,000,000"
339,2025,Detached Duplex,5,5,6,Unknown,Lokogoma District,Abuja,"₦75,000,000"
340,2025,Terraced Duplex,4,4,5,3,Life Camp,Abuja,"₦255,000,000"
341,2025,Terraced Duplex,6,6,6,1,Guzape District,Abuja,"₦9,000,000,000"
342,2025,Detached Duplex,5,5,6,6,Katampe,Abuja,"₦500,000,000"
